HT_AT_DATE,DATE,HT,AT,HT_RD,AT_RD,HT_ELO,AT_ELO,HT_HPG,AT_HPG,HT_PREV_SC,AT_PREV_SC,HT_WL_RATIO,AT_WL_RATIO,HT_AVG_SC,AT_AVG_SC,HT_SC,AT_SC
WSH_ATL_2021-04-07,2021-04-07,3,26,1.0,-7.0,1521.13379820684,1531.90021401169,10.0,4.75,6.0,5.0,1.0,0.0,6.0,2.0,0.0,2.0
OAK_LAD_2021-04-07,2021-04-07,24,29,-33.0,12.0,1507.88678692375,1582.06517691837,5.4,12.2,3.0,10.0,0.0,4.0,2.4,7.2,4.0,3.0
CHC_MIL_2021-04-07,2021-04-07,25,2,1.0,-5.0,1509.99944277801,1499.92821541328,3.6,5.2,0.0,4.0,1.5,0.6666666666666666,3.4,3.0,2.0,4.0
TEX_TOR_2021-04-07,2021-04-07,11,9,-11.0,5.0,1471.75884835033,1502.138970821,8.5,7.0,2.0,6.0,0.3333333333333333,3.0,5.75,3.75,2.0,1.0
PHI_NYM_2021-04-07,2021-04-07,19,14,4.0,2.0,1504.23917851456,1506.00304932642,8.4,7.5,4.0,8.0,4.0,1.0,3.6,5.5,8.0,2.0
DET_MIN_2021-04-07,2021-04-07,22,17,-10.0,15.0,1449.81343807097,1528.55475676755,7.0,9.6,4.0,3.0,1.5,1.5,4.2,6.6,2.0,3.0
BOS_TB_2021-04-07,2021-04-07,23,8,-3.0,-10.0,1497.29987362917,1536.36104494095,8.2,7.5,6.0,5.0,0.6666666666666666,0.0,4.4,3.5,9.0,2.0
CIN_PIT_2021-04-07,2021-04-07,21,20,24.0,-18.0,1508.31348664204,1460.54967057017,11.0,6.4,14.0,1.0,4.0,0.25,9.2,2.6,11.0,4.0
SEA_CWS_2021-04-07,2021-04-07,1,16,-4.0,2.0,1482.87982327656,1509.72424098045,5.75,8.0,8.0,4.0,1.0,1.0,4.75,5.0,4.0,10.0
OAK_LAD_2021-04-07,2021-04-07,24,29,-32.0,11.0,1507.88678692375,1582.06517691837,5.333333333333333,11.5,4.0,3.0,0.2,2.0,2.6666666666666665,6.5,1.0,5.0
